x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second
94.1,45.6,Left Foot,Normal,1,0,0,0.03239634,Marseille,Rémy Cabella,1,29
104.8,42.4,Left Foot,Normal,0,1,0,0.10615076,Marseille,Romain Alessandrini,5,55
96.5,51.5,Left Foot,Normal,1,0,0,0.025239404,Marseille,Michy Batshuayi Tunga,8,46
106.6,44.0,Head,Normal,0,0,0,0.06728822,Paris Saint-Germain,Ángel Fabián Di María Hernández,10,11
105.2,57.5,Right Foot,Normal,0,0,0,0.040201165,Paris Saint-Germain,Zlatan Ibrahimović,11,15
90.2,58.6,Left Foot,Normal,0,0,0,0.006156154,Marseille,Romain Alessandrini,12,14
106.9,29.8,Right Foot,Normal,0,1,0,0.10075281,Paris Saint-Germain,Zlatan Ibrahimović,18,22
102.8,40.8,Right Foot,Half Volley,0,1,0,0.05089525,Paris Saint-Germain,Zlatan Ibrahimović,22,11
112.6,44.7,Right Foot,Half Volley,0,1,0,0.16949627,Paris Saint-Germain,Zlatan Ibrahimović,22,12
101.6,51.8,Left Foot,Normal,0,0,0,0.08709055,Paris Saint-Germain,Ángel Fabián Di María Hernández,25,9
105.0,20.6,Right Foot,Normal,0,0,0,0.009941623,Marseille,Michy Batshuayi Tunga,25,53
104.5,52.4,Left Foot,Normal,0,0,0,0.08708111,Paris Saint-Germain,Ángel Fabián Di María Hernández,28,16
112.3,42.3,Head,Normal,1,0,1,0.1886883,Marseille,Michy Batshuayi Tunga,29,25
108.1,40.1,Right Foot,Normal,0,0,1,0.7835,Paris Saint-Germain,Zlatan Ibrahimović,40,42
108.1,40.1,Right Foot,Normal,0,0,1,0.7835,Paris Saint-Germain,Zlatan Ibrahimović,43,42
113.2,53.8,Right Foot,Normal,0,0,0,0.06250915,Paris Saint-Germain,Serge Aurier,49,25
108.1,40.1,Right Foot,Normal,0,0,0,0.7835,Marseille,Abdelaziz Barrada,54,45
102.2,48.1,Right Foot,Normal,1,0,0,0.11226834,Marseille,Michy Batshuayi Tunga,57,2
92.9,31.7,Right Foot,Normal,0,0,0,0.026997011,Marseille,Michy Batshuayi Tunga,59,20
103.7,48.5,Left Foot,Normal,0,1,0,0.12094896,Paris Saint-Germain,Ángel Fabián Di María Hernández,63,46
107.6,25.6,Left Foot,Half Volley,1,1,0,0.045516007,Paris Saint-Germain,Edinson Roberto Cavani Gómez,65,48
114.8,37.2,Head,Normal,0,0,0,0.22063482,Paris Saint-Germain,Serge Aurier,67,29
111.0,41.4,Head,Normal,1,0,0,0.081454985,Marseille,Romain Alessandrini,68,31
93.3,34.6,Left Foot,Normal,0,0,0,0.032252807,Paris Saint-Germain,Blaise Matuidi,69,9
113.2,40.6,Right Foot,Normal,0,1,0,0.5290182,Paris Saint-Germain,Javier Matías Pastore,77,11
103.8,23.3,Left Foot,Half Volley,0,0,0,0.030649405,Paris Saint-Germain,Maxwell Scherrer Cabelino Andrade,77,15
113.4,38.2,Head,Normal,1,0,0,0.10039252,Marseille,Michy Batshuayi Tunga,78,19
110.3,35.9,Left Foot,Half Volley,1,1,0,0.18221433,Marseille,Rémy Cabella,89,24
103.3,29.8,Right Foot,Normal,0,1,0,0.07222889,Marseille,Rémy Cabella,92,31
