50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e782ce4d-a3f8-4f2a-a135-af42e5bf5382,1,,,,3829500,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cffa0337-4231-4d68-a7e6-2b468a7ad4b9,2,,,,3829500,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 401476, 'name': 'Paolo De Ceglie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82e1c576-1c41-466a-951c-a4df705441fd,3,,,,3829500,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['d032195c-96c5-484c-9ef0-c8ad00e6d9df'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d032195c-96c5-484c-9ef0-c8ad00e6d9df,4,,,,3829500,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['82e1c576-1c41-466a-951c-a4df705441fd'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba244516-138f-4133-88f6-6ab392448300,1721,,,,3829500,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Paris Saint-Germain,131,['635a2278-5d76-4cd3-83bd-878873822513'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,635a2278-5d76-4cd3-83bd-878873822513,1722,,,,3829500,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Paris Saint-Germain,131,['ba244516-138f-4133-88f6-6ab392448300'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,,,,,,,
,,,,,,,,,,,,,,,,0.488683,,,,,,,,,,,,,d28e5db5-cc40-4300-8e58-a6ecc6a7eb8d,5,,,"[61.0, 40.1]",3829500,0,,,,1.47804,,Right Foot,,,"[61.4, 44.4]",,Ground Pass,,4.3185644,,,,Zlatan Ibrahimović,3672.0,,,,,,Kick Off,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['3f4dc87a-997e-4e96-aea5-101c60e24450'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.572,Pass,,61.0,40.1,61.4,44.4,,
,,,,,,,,,,,,,,,,1.15811,,,,,,,,,,,,,aa5cce49-0adf-411f-868a-b07c91be3f63,8,,,"[61.4, 44.4]",3829500,0,,,,-2.8139713,,Right Foot,,,"[46.1, 39.2]",,Ground Pass,,16.159517,,,,Thiago Motta,4325.0,,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['630d359c-c1d3-4e98-927d-38391346bdaf'],1,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.341,Pass,,61.4,44.4,46.1,39.2,,
,,,,,,,,,,,,,,,,1.185156,,,,,,,,,,,,,e526c4c5-2a5a-436d-b228-3de5cbb16790,11,,,"[45.7, 40.4]",3829500,0,,,,1.4056476,,Left Foot,,,"[49.1, 60.8]",,Ground Pass,,20.681393,,,,Marco Verratti,3166.0,,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['1bd83393-4ff6-425f-a171-6cb0d979a6f7'],3,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.031,Pass,,45.7,40.4,49.1,60.8,,
,,,,,,,,,,,,,,,,1.204583,,,,,,,,,,,,,c8dd9f4f-e5dc-4ccb-bc5a-7b505d196ad1,14,,,"[52.4, 64.9]",3829500,0,,,,1.2036225,,Left Foot,,,"[56.4, 75.3]",,Ground Pass,,11.142711,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,,1,From Kick Off,Marco Verratti,3166.0,Right Center Midfield,2,Paris Saint-Germain,131,['ca6f3beb-a6de-4f51-9a07-fb64e6d9bbe0'],5,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:05.199,Pass,,52.4,64.9,56.4,75.3,,
,,,,,,,,,,,,,,,,1.246596,,,,,,,,,,,,,511afa04-cd35-4c79-a6a5-01e2ad279819,17,,,"[56.0, 76.1]",3829500,0,,,,-3.1232462,,Left Foot,,,"[45.1, 75.9]",,Ground Pass,,10.9018345,,,,Serge Aurier,3481.0,,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Paris Saint-Germain,131,['e3e659ac-48c1-4886-bd37-b59f0e58542f'],7,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.570,Pass,,56.0,76.1,45.1,75.9,,
,,,,,,,,,,,,,,,,1.369712,,,,,,,,,,,,,f6416805-43dd-47b5-8902-24a1788861f4,20,,,"[42.0, 74.0]",3829500,0,,,,-2.4303825,,Right Foot,,,"[26.1, 60.3]",,Ground Pass,,20.988092,,,,Thiago Emiliano da Silva,3295.0,,,,,,,1,From Kick Off,Serge Aurier,3481.0,Right Back,2,Paris Saint-Germain,131,['ff5e4b35-e5b5-4a8a-80de-51874feb30eb'],9,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.329,Pass,,42.0,74.0,26.1,60.3,,
,,,,,,,,,,,,,,,,2.385564,,,,,,,,,,,,,125fb9f2-418a-4ad6-97bf-335e8b2a4f95,23,,,"[34.0, 61.6]",3829500,0,,,,-1.7859565,,Right Foot,,,"[27.4, 31.4]",,Ground Pass,,30.91278,,,,David Luiz Moreira Marinho,3956.0,,,,,,,1,From Kick Off,Thiago Emiliano da Silva,3295.0,Right Center Back,2,Paris Saint-Germain,131,['daa8685b-b4c2-4aaf-a94d-be08ecf761cd'],13,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:13.358,Pass,,34.0,61.6,27.4,31.4,,
,,,,,,,,,,,,,,,,1.478634,,,,,,,,,,,,,d3604b25-0c67-4451-99b3-a1537e0cdbec,26,,,"[27.4, 31.4]",3829500,0,,,,1.4950486,,Right Foot,,,"[29.1, 53.8]",,Ground Pass,,22.464417,,,,Thiago Emiliano da Silva,3295.0,,,,,,,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,['16b711e6-6dec-454c-9c6f-8b68ccbc2b71'],18,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:18.106,Pass,,27.4,31.4,29.1,53.8,,
,,,,,,,,,,,,,,,,1.028736,,,,,,,,,,,,,55dfaac1-eff1-4cfb-82ce-af6f00c5339f,29,,,"[34.8, 56.3]",3829500,0,,,,1.1117569,,Left Foot,,,"[39.1, 65.0]",,Ground Pass,,9.7046385,,,,Thiago Motta,4325.0,,,,,,,1,From Kick Off,Thiago Emiliano da Silva,3295.0,Right Center Back,2,Paris Saint-Germain,131,['0b771399-2fd1-4c9e-bc59-d0106e91aa36'],21,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:21.787,Pass,,34.8,56.3,39.1,65.0,,
