x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second
111.3,56.5,Right Foot,Lob,0,1,0,0.024609007,Paris Saint-Germain,Zlatan Ibrahimović,1,7
89.4,37.1,Right Foot,Normal,0,0,0,0.035886627,Paris Saint-Germain,Zlatan Ibrahimović,6,5
93.6,49.8,Right Foot,Normal,0,0,0,0.031780288,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,7,28
109.9,51.3,Right Foot,Normal,1,0,0,0.22743501,Paris Saint-Germain,Gregory van der Wiel,23,51
108.9,23.7,Left Foot,Normal,0,0,0,0.05210939,Paris Saint-Germain,Blaise Matuidi,28,37
105.7,53.7,Right Foot,Normal,0,0,1,0.08603722,Paris Saint-Germain,Zlatan Ibrahimović,31,53
111.2,46.1,Right Foot,Normal,1,1,1,0.15447496,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,39,37
103.3,55.7,Right Foot,Normal,0,0,0,0.042910684,Paris Saint-Germain,Adrien Rabiot,46,58
112.3,61.1,Left Foot,Half Volley,0,1,0,0.006106727,Paris Saint-Germain,Ángel Fabián Di María Hernández,49,12
114.1,43.8,Right Foot,Half Volley,0,1,1,0.5243198,Paris Saint-Germain,Gregory van der Wiel,53,5
105.6,26.7,Left Foot,Normal,0,1,0,0.09832551,Paris Saint-Germain,David Luiz Moreira Marinho,60,25
94.4,35.2,Left Foot,Volley,0,1,1,0.0313798,Paris Saint-Germain,Ángel Fabián Di María Hernández,62,1
105.8,30.4,Left Foot,Lob,0,0,1,0.3200608,Paris Saint-Germain,Ángel Fabián Di María Hernández,65,22
116.3,35.2,Right Foot,Normal,0,1,0,0.48587784,Paris Saint-Germain,Edinson Roberto Cavani Gómez,81,20
83.3,45.1,Right Foot,Normal,0,0,0,0.0062947473,Paris Saint-Germain,Serge Aurier,81,34
97.3,38.0,Right Foot,Normal,0,0,0,0.07954268,Paris Saint-Germain,Zlatan Ibrahimović,84,37
116.3,35.9,Left Foot,Volley,0,1,0,0.43347016,Paris Saint-Germain,Edinson Roberto Cavani Gómez,2,34
113.1,33.2,Right Foot,Normal,1,1,0,0.21109682,Paris Saint-Germain,Edinson Roberto Cavani Gómez,5,24
86.0,33.7,Left Foot,Normal,0,0,0,0.015043803,Paris Saint-Germain,Ángel Fabián Di María Hernández,20,50
119.1,79.1,Left Foot,Normal,0,0,0,0.00018,Paris Saint-Germain,Ángel Fabián Di María Hernández,23,42
89.4,54.2,Left Foot,Normal,0,0,0,0.008450556,Paris Saint-Germain,Ángel Fabián Di María Hernández,29,10
78.5,53.3,Left Foot,Half Volley,1,0,0,0.005247138,Paris Saint-Germain,Adrien Rabiot,43,17
99.0,17.2,Right Foot,Normal,0,0,0,0.007796167,Paris Saint-Germain,Zlatan Ibrahimović,79,53
107.4,53.5,Right Foot,Normal,0,1,0,0.14747064,Paris Saint-Germain,Zlatan Ibrahimović,91,58
103.7,54.7,Right Foot,Normal,0,1,0,0.060805865,Paris Saint-Germain,Zlatan Ibrahimović,7,57
114.2,36.0,Other,Normal,0,0,1,0.3109844,Paris Saint-Germain,Zlatan Ibrahimović,17,0
109.9,37.6,Right Foot,Volley,0,1,0,0.1651778,Paris Saint-Germain,Zlatan Ibrahimović,29,9
104.3,35.3,Right Foot,Half Volley,0,0,0,0.3910862,Paris Saint-Germain,Zlatan Ibrahimović,29,30
110.5,34.4,Right Foot,Normal,0,0,1,0.5019223,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,42,42
108.5,27.9,Left Foot,Half Volley,0,1,0,0.099712126,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,44,48
98.2,41.0,Right Foot,Normal,0,1,0,0.13972482,Paris Saint-Germain,Zlatan Ibrahimović,47,16
100.2,31.5,Right Foot,Normal,0,0,0,0.08632032,Paris Saint-Germain,Zlatan Ibrahimović,51,42
115.9,38.4,Left Foot,Volley,0,1,1,0.72680956,Paris Saint-Germain,Marcos Aoás Corrêa,51,44
103.7,46.2,Left Foot,Normal,0,0,0,0.060187485,Paris Saint-Germain,Zlatan Ibrahimović,60,19
104.1,33.5,Left Foot,Normal,1,0,0,0.3415604,Paris Saint-Germain,Zlatan Ibrahimović,65,36
117.1,30.8,Head,Normal,0,0,0,0.053782217,Paris Saint-Germain,David Luiz Moreira Marinho,73,5
108.0,47.1,Left Foot,Volley,0,1,0,0.10956274,Paris Saint-Germain,Blaise Matuidi,75,12
116.0,42.3,Head,Normal,0,0,0,0.19105245,Paris Saint-Germain,Thiago Motta,75,41
95.7,53.1,Right Foot,Normal,0,0,0,0.044442195,Paris Saint-Germain,Zlatan Ibrahimović,80,28
94.9,41.7,Left Foot,Normal,0,0,0,0.02030118,Paris Saint-Germain,Zlatan Ibrahimović,81,23
97.6,44.2,Right Foot,Normal,1,0,0,0.11034992,Paris Saint-Germain,Zlatan Ibrahimović,82,13
106.9,46.3,Right Foot,Volley,1,1,0,0.13162276,Paris Saint-Germain,Zlatan Ibrahimović,84,17
112.1,34.9,Head,Normal,1,0,1,0.09333907,Paris Saint-Germain,Zlatan Ibrahimović,88,45
97.0,26.8,Left Foot,Lob,0,1,0,0.040270984,Paris Saint-Germain,Adrien Rabiot,2,47
94.6,38.1,Left Foot,Volley,0,1,0,0.0313294,Paris Saint-Germain,Ángel Fabián Di María Hernández,25,34
99.7,32.6,Left Foot,Normal,0,1,0,0.052352,Paris Saint-Germain,Zlatan Ibrahimović,35,58
115.3,41.0,Right Foot,Normal,0,0,0,0.85737664,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,35,59
111.9,44.6,Head,Normal,0,0,0,0.12663935,Paris Saint-Germain,Serge Aurier,56,36
115.3,36.4,Head,Normal,0,0,1,0.33041242,Paris Saint-Germain,Zlatan Ibrahimović,58,32
110.7,39.1,Head,Normal,0,0,0,0.070314616,Paris Saint-Germain,Serge Aurier,83,16
109.0,38.3,Head,Normal,1,0,0,0.042711172,Paris Saint-Germain,Serge Aurier,84,44
115.2,34.4,Left Foot,Half Volley,0,1,0,0.16578136,Paris Saint-Germain,Jean-Kévin Augustin,84,44
107.5,29.8,Left Foot,Normal,0,0,0,0.13881177,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,90,27
100.7,50.9,Left Foot,Normal,0,0,0,0.039518367,Paris Saint-Germain,Ángel Fabián Di María Hernández,90,38
111.7,39.4,Head,Normal,0,0,1,0.19830555,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,3
108.3,41.1,Head,Normal,1,0,0,0.044271223,Paris Saint-Germain,Thiago Emiliano da Silva,40,26
115.8,30.0,Right Foot,Normal,1,0,1,0.18566726,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,26
115.5,44.3,Head,Normal,0,0,0,0.26147515,Paris Saint-Germain,Zlatan Ibrahimović,52,55
91.5,43.4,Right Foot,Normal,0,0,0,0.029047206,Paris Saint-Germain,Christopher Nkunku,54,55
