x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
111.3,56.5,Right Foot,Lob,0,1,0,0.024609007,Paris Saint-Germain,Zlatan Ibrahimović,1,7,18.653149868051777,0.796428178432251,0,0,1
89.4,37.1,Right Foot,Normal,0,0,0,0.035886627,Paris Saint-Germain,Zlatan Ibrahimović,6,5,30.73711111994749,0.23808463627066898,1,1,0
93.6,49.8,Right Foot,Normal,0,0,0,0.031780288,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,7,28,28.16025568065745,0.27551653787952857,1,0,1
109.9,51.3,Right Foot,Normal,1,0,0,0.22743501,Paris Saint-Germain,Gregory van der Wiel,23,51,15.155856953666454,0.6953151908460652,0,0,1
108.9,23.7,Left Foot,Normal,0,0,0,0.05210939,Paris Saint-Germain,Blaise Matuidi,28,37,19.72054765973805,0.6370076251165314,0,1,0
105.7,53.7,Right Foot,Normal,0,0,1,0.08603722,Paris Saint-Germain,Zlatan Ibrahimović,31,53,19.803535037967336,0.5011303943750404,0,0,1
111.2,46.1,Right Foot,Normal,1,1,1,0.15447496,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,39,37,10.707474025184464,0.7882908755757536,1,0,1
103.3,55.7,Right Foot,Normal,0,0,0,0.042910684,Paris Saint-Germain,Adrien Rabiot,46,58,22.92116925464319,0.4315010855805508,0,0,1
112.3,61.1,Left Foot,Half Volley,0,1,0,0.006106727,Paris Saint-Germain,Ángel Fabián Di María Hernández,49,12,22.461077445216205,0.8874264180196499,0,0,1
114.1,43.8,Right Foot,Half Volley,0,1,1,0.5243198,Paris Saint-Germain,Gregory van der Wiel,53,5,7.017834423809103,1.110481098696181,1,0,1
105.6,26.7,Left Foot,Normal,0,1,0,0.09832551,Paris Saint-Germain,David Luiz Moreira Marinho,60,25,19.602295783912663,0.4977927416022123,0,1,0
94.4,35.2,Left Foot,Volley,0,1,1,0.0313798,Paris Saint-Germain,Ángel Fabián Di María Hernández,62,1,26.046112953759522,0.28401285578954033,1,1,0
105.8,30.4,Left Foot,Lob,0,0,1,0.3200608,Paris Saint-Germain,Ángel Fabián Di María Hernández,65,22,17.140595088852663,0.5045121470411229,1,1,0
116.3,35.2,Right Foot,Normal,0,1,0,0.48587784,Paris Saint-Germain,Edinson Roberto Cavani Gómez,81,20,6.060528029800704,1.559926868593224,1,1,0
